run,scenario,channel,variant,first,detect,early,false,lead
45,abrupt,severity,internal_only,30.0,True,False,False,-6.0
45,abrupt,severity,prism,24.0,True,True,False,0.0
46,abrupt,severity,severity_only,24.0,True,True,False,0.0
46,abrupt,severity,external_only,24.0,True,True,False,0.0
46,abrupt,severity,internal_only,24.0,True,True,False,0.0
46,abrupt,severity,prism,24.0,True,True,False,0.0
47,abrupt,severity,severity_only,24.0,True,True,False,0.0
47,abrupt,severity,external_only,20.0,False,False,True,
47,abrupt,severity,internal_only,24.0,True,True,False,0.0
47,abrupt,severity,prism,24.0,True,True,False,0.0
48,abrupt,severity,severity_only,24.0,True,True,False,0.0
48,abrupt,severity,external_only,24.0,True,True,False,0.0
48,abrupt,severity,internal_only,24.0,True,True,False,0.0
48,abrupt,severity,prism,24.0,True,True,False,0.0
49,abrupt,severity,severity_only,24.0,True,True,False,0.0
49,abrupt,severity,external_only,24.0,True,True,False,0.0
49,abrupt,severity,internal_only,24.0,True,True,False,0.0
49,abrupt,severity,prism,24.0,True,True,False,0.0
50,abrupt,severity,severity_only,,False,False,False,
50,abrupt,severity,external_only,24.0,True,True,False,0.0
50,abrupt,severity,internal_only,22.0,True,True,False,2.0
50,abrupt,severity,prism,22.0,True,True,False,2.0
51,abrupt,severity,severity_only,24.0,True,True,False,0.0
51,abrupt,severity,external_only,24.0,True,True,False,0.0
51,abrupt,severity,internal_only,24.0,True,True,False,0.0
51,abrupt,severity,prism,24.0,True,True,False,0.0
52,abrupt,severity,severity_only,24.0,True,True,False,0.0
52,abrupt,severity,external_only,24.0,True,True,False,0.0
52,abrupt,severity,internal_only,24.0,True,True,False,0.0
52,abrupt,severity,prism,24.0,True,True,False,0.0
53,abrupt,severity,severity_only,24.0,True,True,False,0.0
53,abrupt,severity,external_only,24.0,True,True,False,0.0
53,abrupt,severity,internal_only,24.0,True,True,False,0.0
53,abrupt,severity,prism,24.0,True,True,False,0.0
54,abrupt,severity,severity_only,24.0,True,True,False,0.0
54,abrupt,severity,external_only,24.0,True,True,False,0.0
54,abrupt,severity,internal_only,24.0,True,True,False,0.0
54,abrupt,severity,prism,24.0,True,True,False,0.0
55,abrupt,severity,severity_only,24.0,True,True,False,0.0
55,abrupt,severity,external_only,24.0,True,True,False,0.0
55,abrupt,severity,internal_only,24.0,True,True,False,0.0
55,abrupt,severity,prism,24.0,True,True,False,0.0
56,abrupt,severity,severity_only,24.0,True,True,False,0.0
56,abrupt,severity,external_only,24.0,True,True,False,0.0
56,abrupt,severity,internal_only,24.0,True,True,False,0.0
56,abrupt,severity,prism,24.0,True,True,False,0.0
57,abrupt,severity,severity_only,24.0,True,True,False,0.0
57,abrupt,severity,external_only,24.0,True,True,False,0.0
57,abrupt,severity,internal_only,24.0,True,True,False,0.0
57,abrupt,severity,prism,24.0,True,True,False,0.0
58,abrupt,severity,severity_only,24.0,True,True,False,0.0
58,abrupt,severity,external_only,24.0,True,True,False,0.0
58,abrupt,severity,internal_only,24.0,True,True,False,0.0
58,abrupt,severity,prism,24.0,True,True,False,0.0
59,abrupt,severity,severity_only,24.0,True,True,False,0.0
59,abrupt,severity,external_only,24.0,True,True,False,0.0
59,abrupt,severity,internal_only,19.0,False,False,True,
59,abrupt,severity,prism,19.0,False,False,True,
60,abrupt,severity,severity_only,24.0,True,True,False,0.0
60,abrupt,severity,external_only,24.0,True,True,False,0.0
60,abrupt,severity,internal_only,24.0,True,True,False,0.0
60,abrupt,severity,prism,22.0,True,True,False,2.0
61,abrupt,severity,severity_only,24.0,True,True,False,0.0
61,abrupt,severity,external_only,24.0,True,True,False,0.0
61,abrupt,severity,internal_only,24.0,True,True,False,0.0
61,abrupt,severity,prism,24.0,True,True,False,0.0
62,abrupt,severity,severity_only,24.0,True,True,False,0.0
62,abrupt,severity,external_only,24.0,True,True,False,0.0
62,abrupt,severity,internal_only,24.0,True,True,False,0.0
62,abrupt,severity,prism,24.0,True,True,False,0.0
63,abrupt,severity,severity_only,24.0,True,True,False,0.0
63,abrupt,severity,external_only,24.0,True,True,False,0.0
63,abrupt,severity,internal_only,24.0,True,True,False,0.0
63,abrupt,severity,prism,24.0,True,True,False,0.0
64,abrupt,severity,severity_only,21.0,False,False,False,
64,abrupt,severity,external_only,21.0,False,False,False,
64,abrupt,severity,internal_only,21.0,False,False,False,
64,abrupt,severity,prism,21.0,False,False,False,
65,abrupt,severity,severity_only,31.0,False,False,False,
65,abrupt,severity,external_only,24.0,True,True,False,0.0
65,abrupt,severity,internal_only,31.0,False,False,False,
65,abrupt,severity,prism,30.0,True,False,False,-6.0
66,abrupt,severity,severity_only,24.0,True,True,False,0.0
66,abrupt,severity,external_only,24.0,True,True,False,0.0
66,abrupt,severity,internal_only,24.0,True,True,False,0.0
66,abrupt,severity,prism,24.0,True,True,False,0.0
67,abrupt,severity,severity_only,24.0,True,True,False,0.0
67,abrupt,severity,external_only,24.0,True,True,False,0.0
67,abrupt,severity,internal_only,24.0,True,True,False,0.0
67,abrupt,severity,prism,24.0,True,True,False,0.0
68,abrupt,severity,severity_only,24.0,True,True,False,0.0
68,abrupt,severity,external_only,24.0,True,True,False,0.0
68,abrupt,severity,internal_only,24.0,True,True,False,0.0
68,abrupt,severity,prism,24.0,True,True,False,0.0
69,abrupt,severity,severity_only,24.0,True,True,False,0.0
69,abrupt,severity,external_only,15.0,False,False,True,
69,abrupt,severity,internal_only,24.0,True,True,False,0.0
69,abrupt,severity,prism,15.0,False,False,True,
70,abrupt,severity,severity_only,24.0,True,True,False,0.0
70,abrupt,severity,external_only,24.0,True,True,False,0.0
70,abrupt,severity,internal_only,24.0,True,True,False,0.0
70,abrupt,severity,prism,24.0,True,True,False,0.0
71,abrupt,severity,severity_only,24.0,True,True,False,0.0
71,abrupt,severity,external_only,24.0,True,True,False,0.0
71,abrupt,severity,internal_only,24.0,True,True,False,0.0
71,abrupt,severity,prism,24.0,True,True,False,0.0
72,abrupt,severity,severity_only,24.0,True,True,False,0.0
72,abrupt,severity,external_only,24.0,True,True,False,0.0
72,abrupt,severity,internal_only,24.0,True,True,False,0.0
72,abrupt,severity,prism,24.0,True,True,False,0.0
